Event,Track,Material,StepLength(mm),Edep(MeV),PreE(MeV),PostE(MeV),PreZ(mm),PostZ(mm),Transmission
0,1,G4_AIR,90.063,0.0141488,1198.53,1198.52,1500,1461.56,1
0,1,G4_AIR,16.442,0.00165393,1198.52,1198.52,1461.56,1454.55,1
0,1,G4_AIR,73.3494,0.0104057,1198.52,1198.5,1454.55,1423.24,1
0,1,G4_AIR,95.9402,0.0136817,1198.5,1198.49,1423.24,1382.29,1
0,1,G4_AIR,27.6936,0.00393317,1198.49,1198.48,1382.29,1370.47,1
0,1,G4_AIR,115.155,0.0179005,1198.48,1198.46,1370.47,1321.32,1
0,1,G4_AIR,33.1407,0.00516971,1198.46,1198.45,1321.32,1307.18,1
0,1,G4_AIR,169.321,0.0236413,1198.45,1198.42,1307.18,1234.91,1
0,1,G4_AIR,46.7617,0.00655221,1198.42,1198.41,1234.91,1214.94,1
0,1,G4_AIR,39.2516,0.00699727,1198.41,1198.03,1214.94,1198.19,1
0,1,G4_AIR,174.923,0.0215538,1198.03,1198,1198.19,1123.53,1
0,1,G4_AIR,177.727,0.0304597,1198,1197.97,1123.53,1047.67,1
0,1,G4_AIR,46.7418,0.00533601,1197.97,1197.97,1047.67,1027.72,1
0,1,G4_AIR,5.21401,0.00229021,1197.97,1197.95,1027.72,1025.5,1
0,1,G4_AIR,31.1593,0.00432961,1197.95,1197.95,1025.5,1012.2,1
0,1,G4_AIR,26.4318,0.00341884,1197.95,1197.94,1012.2,1000.91,1
0,1,G4_AIR,167.804,0.0257267,1197.94,1197.91,1000.91,929.285,1
0,1,G4_AIR,2.60045,0.0008362,1197.91,1197.9,929.285,928.175,1
0,1,G4_AIR,120.039,0.0152132,1197.9,1197.89,928.175,876.943,1
0,1,G4_AIR,5.45684,0.000579798,1197.89,1197.89,876.943,874.614,1
0,1,G4_AIR,161.47,0.0216876,1197.89,1197.86,874.614,805.699,1
0,1,G4_AIR,35.7347,0.0042564,1197.86,1197.85,805.699,790.444,1
0,1,G4_AIR,30.0377,0.00383836,1197.85,1197.85,790.444,777.621,1
0,1,G4_AIR,45.5671,0.00834924,1197.85,1197.84,777.621,758.169,1
0,1,G4_AIR,135.984,0.0204708,1197.84,1197.8,758.169,700.115,1
0,1,G4_AIR,2.08462,2.76914e-05,1197.8,1197.8,700.115,699.224,1
0,1,G4_AIR,75.8518,0.0114892,1197.8,1197.79,699.224,666.815,1
0,1,G4_AIR,58.2604,0.010555,1197.79,1197.77,666.815,641.916,1
0,1,G4_AIR,224.853,0.0313311,1197.77,1197.74,641.916,545.795,1
0,1,G4_AIR,5.45269,0.00121005,1197.74,1197.73,545.795,543.465,1
0,1,G4_AIR,23.2979,0.00446241,1197.73,1197.72,543.465,533.506,1
0,1,G4_AIR,23.8274,0.00321679,1197.72,1197.72,533.506,523.323,1
0,1,G4_AIR,104.914,0.014129,1197.72,1197.7,523.323,478.491,1
0,1,G4_AIR,165.815,0.0259785,1197.7,1197.66,478.491,407.627,1
0,1,G4_AIR,151.796,0.0250789,1197.66,1197.63,407.627,342.754,1
0,1,G4_AIR,3.29131,0.000305535,1197.63,1197.61,342.754,341.347,1
0,1,G4_AIR,118.572,0.0156048,1197.61,1197.48,341.347,290.662,1
0,1,G4_AIR,8.76168,0.00131274,1197.48,1197.48,290.662,286.919,1
0,1,G4_AIR,7.86705,0.00228094,1197.48,1197.3,286.919,283.557,1
0,1,G4_AIR,84.222,0.0108472,1197.3,1197.29,283.557,247.563,1
0,1,G4_AIR,66.078,0.010366,1197.29,1197.28,247.563,219.311,1
0,1,G4_AIR,6.17587,0.000430701,1197.28,1197.27,219.311,216.67,1
0,1,G4_AIR,432.043,0.0570506,1197.27,1197.21,216.67,31.933,1
0,1,G4_AIR,62.1908,0.00996424,1197.21,1197.2,31.933,5.34523,0
0,44,G4_AIR,0.201431,0.00229273,0.00229273,0,31.933,31.9036,0
0,43,G4_AIR,0.0637942,0.00108114,0.00108114,0,216.67,216.671,0
0,42,G4_AIR,0.114157,0.00159819,0.00159819,0,219.311,219.291,0
0,41,G4_AIR,0.0932478,0.00139856,0.00139856,0,247.563,247.57,0
0,40,G4_AIR,42.5803,0.0104422,0.176261,0.163463,283.557,278.641,1
0,40,G4_AIR,6.55912,0.00105001,0.163463,0.160496,278.641,276.738,1
0,40,G4_AIR,46.7473,0.0113392,0.160496,0.14384,276.738,267.929,1
0,40,G4_AIR,15.3045,0.00642351,0.14384,0.13596,267.929,271.042,1
0,40,G4_AIR,60.8951,0.0194073,0.13596,0.116553,271.042,294.166,1
0,40,G4_AIR,47.1051,0.0142024,0.116553,0.102351,294.166,312.292,1
0,40,G4_AIR,10.0262,0.00488398,0.102351,0.0952495,312.292,312.169,1
0,40,G4_AIR,13.5509,0.0049466,0.0952495,0.0891114,312.169,317.531,1
0,40,G4_AIR,0.327409,0.000151816,0.0891114,0.0879057,317.531,317.673,1
0,40,G4_AIR,0.661978,0.00018938,0.0879057,0.0877164,317.673,317.866,1
0,40,G4_AIR,15.8446,0.0060541,0.0877164,0.0796862,317.866,322.031,1
0,40,G4_AIR,24.9651,0.0129449,0.0796862,0.0667413,322.031,337.082,1
0,40,G4_AIR,18.1858,0.00836672,0.0667413,0.0546351,337.082,350.778,1
0,40,G4_AIR,3.90624,0.00246703,0.0546351,0.0431727,350.778,354.409,1
0,40,G4_AIR,6.32916,0.0039157,0.0431727,0.0298197,354.409,359.568,1
0,40,G4_AIR,5.51232,0.00407721,0.0298197,0.0257425,359.568,362.491,1
0,40,G4_AIR,4.56637,0.00400228,0.0257425,0.0217402,362.491,365.107,1
0,40,G4_AIR,3.7422,0.0026908,0.0217402,0.0190494,365.107,366.178,1
0,40,G4_AIR,3.24548,0.0043977,0.0190494,0.0146517,366.178,366.729,1
0,40,G4_AIR,2.52457,0.00298844,0.0146517,0.0116633,366.729,368.493,1
0,40,G4_AIR,1.13493,0.00228413,0.0116633,0.00824923,368.493,369.315,1
0,40,G4_AIR,1.5513,0.00610336,0.00824923,0.00214586,369.315,370.005,1
0,40,G4_AIR,0.181043,0.00214586,0.00214586,0,370.005,369.969,0
0,56,G4_AIR,0.0680021,0.0011299,0.0011299,0,369.315,369.315,0
0,55,G4_AIR,1.74752,0.00497662,0.00943731,0.00446069,359.568,360.292,1
0,55,G4_AIR,0.626343,0.00446069,0.00446069,0,360.292,360.541,0
0,54,G4_AIR,1.67709,0.00305351,0.00899535,0.00594184,354.409,354.758,1
0,54,G4_AIR,0.450289,0.00228415,0.00594184,0.00253292,354.758,354.912,1
0,54,G4_AIR,0.237102,0.00253292,0.00253292,0,354.912,354.837,0
0,57,G4_AIR,0.0675543,0.00112477,0.00112477,0,354.912,354.918,0
0,53,G4_AIR,0.460347,0.00373951,0.00373951,0,350.778,350.775,0
0,52,G4_AIR,0.158785,0.00197608,0.00197608,0,322.031,322.021,0
0,51,G4_AIR,0.0614878,0.00105381,0.00105381,0,317.673,317.694,0
0,50,G4_AIR,0.0734855,0.00119148,0.00119148,0,317.531,317.511,0
0,49,G4_AIR,0.190801,0.00221711,0.00221711,0,312.169,312.115,0
0,48,G4_AIR,0.0990684,0.0014559,0.0014559,0,271.042,271.02,0
0,47,G4_AIR,0.854242,0.00531703,0.00531703,0,267.929,268.271,0
0,46,G4_AIR,0.151319,0.00191663,0.00191663,0,276.738,276.718,0
0,45,G4_AIR,0.210596,0.00235635,0.00235635,0,278.641,278.722,0
0,39,G4_AIR,0.285506,0.00283105,0.00283105,0,286.919,286.949,0
0,38,G4_AIR,10.9533,0.00322092,0.108649,0.105428,290.662,280.837,1
0,38,G4_AIR,5.18517,0.00157691,0.105428,0.10251,280.837,278.01,1
0,38,G4_AIR,38.0057,0.0108174,0.10251,0.091693,278.01,253.42,1
0,38,G4_AIR,26.4522,0.0163096,0.091693,0.0742438,253.42,261.584,1
0,38,G4_AIR,22.2038,0.0102118,0.0742438,0.064032,261.584,265.509,1
0,38,G4_AIR,17.4135,0.0079357,0.064032,0.0560963,265.509,265.095,1
0,38,G4_AIR,14.0615,0.0112599,0.0560963,0.0448364,265.095,261.147,1
0,38,G4_AIR,7.81177,0.00667571,0.0448364,0.0368438,261.147,256.802,1
0,38,G4_AIR,1.48657,0.000586291,0.0368438,0.0305471,256.802,255.688,1
